Stop_search,Stop_name,Route_long_name,Transport_type,avg_sentiment,avg_rating,main_sentiment
BRT MENTARI,MENTARI,BRT Sunway Line,BRT,0.07744,3.933333333333333,Neutral
BRT SOUTH QUAY-USJ 1,SOUTH QUAY-USJ 1,BRT Sunway Line,BRT,-0.13292857142857145,2.2142857142857144,Negative
BRT SUNMED,SUNMED,BRT Sunway Line,BRT,0.22811818181818183,4.0,Neutral
BRT SUN,SunU-Monash,BRT Sunway Line,BRT,,,
BRT SunU-Monash,SunU-Monash,BRT Sunway Line,BRT,0.02886,3.6666666666666665,Neutral
BRT SUNWAY LAGOON ,SUNWAY LAGOON ,BRT Sunway Line,BRT,0.2540027777777778,4.083333333333333,Positive
BRT SUNWAY-SETIA JAYA,SUNWAY-SETIA JAYA,BRT Sunway Line,BRT,0.03677272727272727,4.2727272727272725,Neutral
BRT USJ7,USJ7,BRT Sunway Line,BRT,0.670675,4.0,Positive
KTM ABDULLAH HUKUM,ABDULLAH HUKUM,,KTM,0.047661797752808994,3.6179775280898876,Neutral
KTM ALOR SETAR,Alor Star,KTM Butterworth - Padang Besar,KTM,0.049033999999999994,3.62,Neutral
KTM ANAK BUKIT,ANAK BUKIT,KTM Butterworth - Padang Besar,KTM,0.071425,3.87,Neutral
KTM ANAK BUKIT,ANAK BUKIT,Electric Train Service Padang Besar - Gemas,KTM,0.071425,3.87,Neutral
KTM ANGKASAPURI,Angkasapuri,,KTM,0.07765757575757576,3.9393939393939394,Neutral
KTM ARAU,ARAU,KTM Butterworth - Padang Besar,KTM,0.043752000000000006,3.61,Neutral
KTM ARAU,ARAU,Electric Train Service Padang Besar - Gemas,KTM,0.043752000000000006,3.61,Neutral
KTM AUR GADING,Aur Gading,Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,0.0,5.0,Neutral
KTM AUR GADING,Aur Gading,Intercity Shuttle Tumpat - Gemas,KTM,0.0,5.0,Neutral
KTM BAGAN SERAI,BAGAN SERAI,KTM Butterworth - Ipoh,KTM,0.0876,4.057142857142857,Neutral
KTM BAGAN SERAI,BAGAN SERAI,Electric Train Service Padang Besar - Gemas,KTM,0.0876,4.057142857142857,Neutral
KTM BAHAU,Bahau,Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,0.14196666666666669,3.8666666666666667,Neutral
KTM BAHAU,Bahau,Intercity Shuttle Tumpat - Gemas,KTM,0.14196666666666669,3.8666666666666667,Neutral
KTM BANDAR TASEK (S),BANDAR TASEK (S),,KTM,0.023743,3.67,Neutral
KTM BANGI,BANGI,,KTM,0.039069,3.81,Neutral
KTM BANK NEGARA,Bank Negara,,KTM,0.112637,3.89,Neutral
KTM BANK NEGARA,Bank Negara,Electric Train Service Padang Besar - Gemas,KTM,0.112637,3.89,Neutral
KTM BATANG BENAR,BATANG BENAR,,KTM,-0.04253417721518988,3.0,Neutral
KTM BATANG KALI,BATANG KALI,,KTM,0.018622222222222224,3.4285714285714284,Neutral
KTM BATANG KALI,BATANG KALI,Electric Train Service Padang Besar - Gemas,KTM,0.018622222222222224,3.4285714285714284,Neutral
KTM BATU ANAM,Batu Anam,Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,0.0,3.5,Neutral
KTM BATU CAVES,BATU CAVES,,KTM,0.170641,4.03,Neutral
KTM BATU GAJAH,BATU GAJAH,Electric Train Service Padang Besar - Gemas,KTM,0.046305,3.71,Neutral
KTM BATU KENTOMEN,Batu Kentonmen,,KTM,0.12096250000000001,3.8541666666666665,Neutral
KTM BATU TIGA,BATU TIGA,,KTM,0.10188076923076922,3.6153846153846154,Neutral
KTM BEHRANG,BEHRANG,Electric Train Service Padang Besar - Gemas,KTM,-0.074,3.5,Neutral
